RHINO CHARGE 2026,,,,,,,,,,,,,,,,
LEADER BOARD,,,,,,,,,,,,,,,,
CAR NO,ENTRANT NAME,TEAM NAME,KWS,TOOLCRAFTS,AUTO XPRESS,SATAO,OCEAN AGRICULTURE,MANTECH,TIRE WORLD,GRIDLESS,COPY CAT,AQUAMIST,FLOWERWATCH,SOLEX,SLATER & WHITTAKER,TOTAL CPS
CAR01,Eddy Verbeek,Car No 1,,,,,,,,,START,,,,,
CAR02,Ian Duncan,KTM Cruisers,,,,,,,,,,,,START,,
CAR03,Gurmeet Mehta,The Hatarious Chargers,,,,,,,,,,,START,,,
CAR04,Nicholas Foley,Foley Hemingways Charger,,,,,,,,,,,,,START,
CAR05,Graham Mckittrick,Team 5,,,,,,,,,,,,,START,
CAR06,Sunaina Choda,team ole choda,,,,,,,,START,,,,,,
CAR07,Mahesh Bhatti,Low Rangers,,,,,,START,,,,,,,,
CAR08,Aadil Vaiani,Team Good TImes!!,,,,,,START,,,,,,,,
CAR09,John Bowden,Car 9,,,,,START,,,,,,,,,
CAR10,salim wali mohamed,Bush Rover,,,,,,,,,,,,,START,
CAR11,Ravi Patel,Frying Squad,,,,,,,,START,,,,,,
CAR12,Simon de la Rey,Bushcats,,,,,,START,,,,,,,,
CAR13,James Dutkowski,The bucket list battlers,,,,,,START,,,,,,,,
CAR14,Priten Patel,Team Chomz,,,,,,,,,,START,,,,
CAR15,Anthony Stow,Kifaru Kwanza,,,,,,,START,,,,,,,
CAR16,Richard Waugh,Phoenix Rising,,,,START,,,,,,,,,,
CAR17,Rishi Chauhan,Pumba Patrol,,,,,,,,,START,,,,,
CAR18,Raaji Bharij,18 Till I Die,,,,,,,,,START,,,,,
CAR19,Petra Somen/Sabine Kontos,Bush Babes,,,,,,,,,,,,START,,
CAR20,Peter Castle,DIK-DIKS,,,,,,,,,,,,START,,
CAR21,Michael Kontos/Jonathan Somen,King 21,,,,,,,,,,,START,,,
CAR22,Gray Cullen,Smiling Shenzis,,,,,,,,,,,START,,,
CAR23,Peter Kinyua,Car 23 - Peter Kinyua,,,,START,,,,,,,,,,
CAR24,Jaspal Singh Matharu,Fat Rhinos,,,,,,,START,,,,,,,
CAR25,alasdair keith,charging hippos,,,,,,,,,,,,,START,
CAR26,Asit Patel,TEAM 26,,,,,,START,,,,,,,,
CAR27,Richard Hooper,Jeepers Creepers,,,,,,,,,,START,,,,
CAR28,Torben Rune,Team 28 Team Taz,,,,,,START,,,,,,,,
CAR29,Richard Kiplagat,EV Explorers,,,,,,START,,,,,,,,
CAR30,Edward Johnstone,The Internationals,,,,,,,,,START,,,,,
CAR31,Nick Foley,Foley Chargers 2,,,,,,,,,START,,,,,
CAR32,Nikhil Vishram,Cementers Racing Team,,,,,,,START,,,,,,,
CAR33,Jeremy Holley,Team Huzi,,,,,,,,,START,,,,,
CAR34,Rajesh Maini,Moto Moto,,,,,,START,,,,,,,,
CAR35,Robin Tilbury,HOG CHARGE TEAM,,,,,,,,,,,,START,,
CAR36,Adrian Wilcox,Aberdair Devils,,,,,,,START,,,,,,,
CAR37,John Kanyali,Ole Nkrunett,,,,,,,START,,,,,,,
CAR38,Sean Avery,Bundufundi,,,,,,,,START,,,,,,
CAR39,Jaspal Singh Harbhajan Singh,Team 39,,,,,,,START,,,,,,,
CAR40,Peter Francombe,Roving Rogues,,,,,,,,START,,,,,,
CAR41,Amit Sharma,Land Mawe,,,,START,,,,,,,,,,
CAR42,Anthony Havelock,Team 42,,,,,,,,,,,,START,,
CAR43,Vishal Shah,Kurutu Chargers Team 43,,,,,,,,,,START,,,,
CAR44,ADIL KHAWAJA,AK 44,,,,,,,,,,START,,,,
CAR45,Andrew Sheen,The Crusaders,,,,,,,,,START,,,,,
CAR46,Mateus Finato,Geco Tribe Chargers,,,,,START,,,,,,,,,
CAR47,Nuria Martínez de Velasco,Wacus Girls in Pearls,,,,,,,,,START,,,,,
CAR48,Mark Glen,Team 48 Mark Glen,,,,,,,,,,,START,,,
CAR49,Patrick Garner,Braeburn Seven Squared,,,,START,,,,,,,,,,
CAR50,Agnes Mwangi,Zambarau Heels on Wheels,,,,,START,,,,,,,,,
CAR51,Dominic Rebelo,DeRanged Rover,,,,,,,,,,,,START,,
CAR52,Hemal Pindolia,Rhin'O'Serious,,,,,,,,,,,,START,,
CAR53,Jonathan Jackson,Lordship Africa,,,,,START,,,,,,,,,
CAR54,Eric Goss,Danish Kifarus,,,,,START,,,,,,,,,
CAR55,Nikhil Halai,Team Car Zone,,,,START,,,,,,,,,,
CAR56,Harveet Singh Obhrai,Team Big Foot,,,,,,,,,,START,,,,
CAR57,James Boorman,Team 57,,,,,,,,START,,,,,,
CAR58,Jason Varndell,BATUK 1,,,,,,,,,START,,,,,
CAR59,Jason Varndell,BATUK 2,,,,,START,,,,,,,,,
CAR60,Ajitesh Kapoor,Team 60,,,,,,,,,,,,,START,
CAR61,Kier Head,Team Loafer,,,,,,,,,,,,,START,
CAR62,Martin Kinyanjui,Magnate Chargers,,,,,,,,,START,,,,,
CAR63,Timothy Carstens,Aussie Rules,,,,,,,,,,START,,,,
CAR64,peter Bonde-Nielsen,Team 64,,,,,,,,START,,,,,,
CAR65,Freddie Vere Nicoll,Coastal Rovers,,,,,,,,START,,,,,,
